match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
8045,2,5,3,40%,366,78%,9,2,0,5,3,BRA009
8045,2,13,5,60%,539,83%,18,1,0,0,6,BRA007
8047,3,16,5,33%,288,73%,14,4,0,2,7,BRA016
8047,3,23,6,67%,613,87%,12,1,0,2,6,BRA042
8046,3,12,3,70%,598,90%,15,3,0,1,5,BRA022
8046,3,20,18,30%,256,76%,8,0,0,2,8,BRA023
8048,3,10,2,45%,437,82%,15,3,0,1,3,BRA015
8048,3,21,6,55%,508,84%,20,3,0,0,12,BRA033
8049,3,19,8,56%,368,76%,16,4,0,1,6,BRA001
8049,3,12,6,44%,294,73%,19,3,1,0,2,BRA040
8050,3,18,5,56%,471,81%,8,3,0,4,9,BRA018
8050,3,12,5,44%,369,78%,18,3,2,1,5,BRA010
8051,3,8,3,41%,398,80%,11,3,1,3,5,BRA003
8051,3,16,6,59%,574,86%,18,3,0,2,1,BRA005
8052,3,24,13,74%,642,88%,14,4,0,3,7,BRA021
8052,3,12,6,26%,225,69%,12,2,1,1,2,BRA009
8053,3,12,6,49%,432,80%,12,5,0,2,5,BRA025
8053,3,15,4,51%,410,83%,16,3,1,2,7,BRA019
8054,3,15,1,42%,329,81%,10,0,1,4,11,BRA024
8054,3,18,8,58%,463,86%,16,4,0,1,8,BRA028
8055,3,15,6,55%,430,80%,19,1,0,5,7,BRA044
8055,3,12,6,45%,355,75%,19,4,0,0,6,BRA007
8056,4,9,4,44%,397,77%,15,3,0,5,4,BRA040
8056,4,10,3,56%,496,80%,17,6,0,0,4,BRA018
8057,4,23,9,80%,733,89%,12,3,0,1,9,BRA022
8057,4,8,1,20%,195,59%,19,3,0,1,1,BRA044
8058,4,9,5,55%,476,80%,12,4,0,2,6,BRA019
8058,4,15,4,45%,404,78%,19,3,1,5,4,BRA001
8059,4,10,4,49%,406,79%,24,7,0,2,5,BRA016
8059,4,15,5,51%,423,79%,28,2,0,1,3,BRA007
8061,4,10,4,39%,349,77%,15,2,0,2,2,BRA003
8061,4,14,4,61%,532,84%,11,2,0,0,8,BRA021
8060,4,15,4,58%,486,87%,9,4,0,3,9,BRA028
8060,4,7,4,42%,374,81%,16,3,0,2,4,BRA042
8062,4,21,7,58%,470,75%,20,2,0,2,7,BRA010
8062,4,11,3,42%,353,69%,9,5,0,3,4,BRA025
8063,4,22,7,39%,341,81%,14,1,0,0,5,BRA009
8063,4,9,1,61%,536,85%,8,3,0,4,9,BRA005
8064,4,17,7,57%,524,88%,29,6,0,1,6,BRA033
8064,4,15,4,43%,396,84%,13,2,1,1,4,BRA024
8065,4,16,2,52%,511,88%,9,2,0,2,5,BRA023
8065,4,21,8,48%,488,85%,6,2,0,3,5,BRA015
8067,5,17,3,60%,550,86%,13,4,0,1,4,BRA007
8067,5,14,9,40%,379,79%,18,3,0,5,1,BRA040
8066,5,12,3,46%,423,84%,11,2,0,2,4,BRA028
8066,5,14,5,54%,516,85%,10,4,0,2,3,BRA003
8068,5,10,3,37%,271,61%,17,3,0,2,4,BRA001
8068,5,20,9,63%,438,78%,16,5,0,3,5,BRA010
8069,5,7,1,46%,465,86%,12,1,0,0,6,BRA019
8069,5,8,7,54%,551,86%,17,2,0,1,1,BRA005
8070,5,14,6,42%,406,83%,9,1,0,1,7,BRA024
8070,5,23,5,58%,551,89%,22,0,0,1,8,BRA021
8071,5,11,7,52%,469,86%,10,5,1,3,3,BRA022
8071,5,27,5,48%,401,88%,14,1,0,1,16,BRA018
8072,5,3,2,41%,407,80%,13,4,0,0,4,BRA025
8072,5,28,10,59%,562,88%,10,2,0,2,7,BRA033
8073,5,10,6,35%,303,73%,22,2,0,1,5,BRA016
8073,5,7,2,65%,543,83%,15,1,0,3,5,BRA044
8074,5,12,4,46%,527,87%,5,2,0,0,3,BRA015
8074,5,16,6,54%,604,89%,12,1,0,0,3,BRA009
8075,5,13,1,57%,482,85%,17,3,1,2,10,BRA042
